name,address,lat,lng
La Muscleria,"Carrer de Mallorca, 290, Barcelona, Spain",41.396485,2.166424
Bar El VelÃ_dromo,"Carrer de Muntaner, 213, Barcelona, Spain",41.393464,2.150178
La Boheme,"Carrer de Blai, 65, Barcelona, Spain",41.374749,2.161805
Restaurante La Radio,"Carrer de SepÃºlveda, 91-93, Barcelona, Spain",41.379688,2.157665
KFC,"Carrer de Ferran, 2 - 4, Barcelona, Spain",41.380349,2.174296
Restaurante un Capitol de Vietnam,"Calle Napoles, 266, Barcelona, Spain",41.402277,2.170455
Paralelo 91,"Avinguda del ParaÅ€lel, 91, Barcelona, Spain",41.374925,2.164779
PizzerÃ_a Ninones Restaurant,"Ronda del GuinardÃ_, 114, Barcelona, Spain",41.416426,2.174466
Els Pescadors,"PlaÃ§a de Prim, 1, Barcelona, Spain",41.399536,2.206925
Natural kebap,"Centro Comercial Diagonal Mar, Avinguda Diagonal, Barcelona, Spain",41.410077,2.217911
Restaurante El RacÃ_,"Rambla de Catalunya, 25, Barcelona, Spain",41.388957,2.166114
La Barca del Salamanca,"Moll del Gregal, 17, Barcelona, Spain",41.387768,2.201668
Bang Bang,"PlaÃ§a de Joaquim Pena, 4, Barcelona, Spain",41.396637,2.128161
La Font Del Gat,"Passeig de Santa Madrona, 28, Barcelona, Spain",41.368269,2.157817
La Taverna del Born,"Passeig del Born, 27, Barcelona, Spain",41.385388,2.18311
Buenas Migas,"Passeig de GrÃ cia, 120, Barcelona, Spain",41.397474,2.158779
Starbucks,"Plaza Universitat, 2, Barcelona, Spain",41.385272,2.163283
BraserÃ_a Can Xurrades,"Carrer Gran de GrÃ cia, 57, Barcelona, Spain",41.399501,2.155747
Restaurante parrilla Alfonsina,"Carrer de la DiputaciÃ_, 379, Barcelona, Spain",41.39707,2.175695
Restaurante Dos Torres,"Via Augusta, 300, Barcelona, Spain",41.397838,2.128493
El All i Oli,"Carrer d'Alella, 3, Barcelona, Spain",41.431438,2.181187
Bar Bodega PÃ¡dua,"Carrer de PÃ dua, 92, Barcelona, Spain",41.404372,2.14401
Marvic,"Carrer de Joaquim Valls, 32, Barcelona, Spain",41.443008,2.181855
Foster's Hollywood,"Passeig de Manuel Girona, 38, Barcelona, Spain",41.390847,2.123545
O Meu Lar Restaurant,"Carrer de Margarit, 24, Barcelona, Spain",41.373616,2.163528
Shanghai Restaurant,"Carrer del Bisbe Sivilla, 48, Barcelona, Spain",41.403827,2.133942
Bisi Bisau,"Carrer del LluÃ§anÃ¨s, 2, Barcelona, Spain",41.407186,2.133546
Ugarit Joanic SL,"Carrer de l'Escorial, 1, Barcelona, Spain",41.40586,2.162534
L'antic Mediterrani,"Passeig de Verdum, 12, Barcelona, Spain",41.437573,2.174177
O Lusitano DistribuciÃ_n S.C.P,"Carrer de Castanys, 23, Barcelona, Spain",41.400749,2.204898
La Bodegueta del Poble Sec,"Carrer de Blai, 47, Barcelona, Spain",41.374094,2.163313
Vasi Restaurant,"C/ Sant Gervasi De Cassoles, 24, Barcelona, Spain",41.404755,2.138345
Kin Sushi Bar,"Carrer de ProvenÃ§a, 97, Barcelona, Spain",41.386116,2.149904
Mario's Pizza Nostra,"Carrer de Portbou, 35, Barcelona, Spain",41.376943,2.12656
Restaurante Tayba,"Carrer de Sugranyes, 27, Barcelona, Spain",41.374551,2.128036
Granja El Canario,"PlaÃ§a de Lesseps, Barcelona, Spain",41.406597,2.149553
Takashi Ochiai Pastisseria,"Carrer del Comte d'Urgell, 110, Barcelona, Spain",41.384166,2.156206
La bota del racÃ_,"Avinguda de la Mare de DÃ©u de Montserrat, 232, Barcelona, Spain",41.422219,2.174444
La Torre de SarriÃ  Restaurant,"Carrer de Carrasco i Formiguera, 25, Barcelona, Spain",41.40246,2.121847
Griego Leo's Restaurant,"Carrer dels Escultors ClaperÃ_s, 8, Barcelona, Spain",41.408093,2.189532
La Vela,"Avenida de Icaria, 149, Barcelona, Spain",41.391166,2.196663
Aroma,"Passeig de Sant Gervasi, 59, Barcelona, Spain",41.411401,2.138153
Pitarra,"Carrer d'AvinyÃ_, 56, Barcelona, Spain",41.380261,2.179221
Txalaparta Restaurant,"Carrer de Sants, 146, Barcelona, Spain",41.375523,2.133665
NONI Bar-Restaurant,"Carrer d'Arenys, 21, Barcelona, Spain",41.421996,2.142245
La Tertulia S.C.P.,"Rambla del Poblenou, 34, Barcelona, Spain",41.399253,2.203738
Borneo,"Carrer del Rec, 49, Barcelona, Spain",41.385305,2.182853
Restaurante El Mexicano de Arizala,"Carrer d'Arizala, 4, Barcelona, Spain",41.375816,2.125498
CafÃ© Zurich,"Plaza Catalunya, 1, Barcelona, Spain",41.38586,2.169497
Infussion Bar,"Carrer Deu i Mata, 10, Barcelona, Spain",41.386152,2.131656
El Laurel,"Carrer de Floridablanca, 140, Barcelona, Spain",41.381334,2.162418
Doble Zer00 Restaurant,"Carrer de Jaume Giralt, 53, Barcelona, Spain",41.387905,2.178805
Asador Del Mar,"Carrer de Bori i FontestÃ , 45, Barcelona, Spain",41.392449,2.136669
Samsara,"C/ Terol, 6, Barcelona, Spain",41.402446,2.157232
"Los Pinchitos, SCP","Carrer Doctor Pi i Molist, 67, Barcelona, Spain",41.43351,2.172752
Bar El Nus,"Carrer dels Mirallers, 5, Barcelona, Spain",41.384198,2.180705
Can Toni de Poble9,"Rambla del Poblenou, 88, Barcelona, Spain",41.401873,2.200377
EscribÃ ,"Gran Via de les Corts Catalanes, 546, Barcelona, Spain",41.38303,2.160156
ExprÃ©ssatÃ©,"Rambla del Poblenou, 122, Barcelona, Spain",41.403523,2.198295
Can Recasens,"Rambla del Poblenou, 102, Barcelona, Spain",41.402339,2.199757
Club de CafÃ© Novell,"Travessera de GrÃ cia, 333, Barcelona, Spain",41.406993,2.166666
Il caffÃ¨ di Roma,"Av. Diagonal, 3, Centro Comercial Diagonal Mar,, Barcelona, Spain",41.409863,2.215858
Cosmo,"Carrer d'Enric Granados, 3, Barcelona, Spain",41.387461,2.162675
Els 4Gats,"Carrer de MontsiÃ_, 3, Barcelona, Spain",41.385746,2.173699
